Ensembl	Gene	"Gene description"	"Biological process"	"Molecular function"	Evidence
ENSG00000230657	PRB4	"Proline rich protein BstNI subfamily 4"			"Evidence at transcript level"
ENSG00000188783	PRELP	"Proline and arginine rich end leucine rich repeat protein"			"Evidence at protein level"
ENSG00000156575	PRG3	"Proteoglycan 3, pro eosinophil major basic protein 2"			"Evidence at protein level"
ENSG00000116690	PRG4	"Proteoglycan 4"			"Evidence at protein level"
ENSG00000134551	PRH2	"Proline rich protein HaeIII subfamily 2"			"Evidence at protein level"
ENSG00000172179	PRL	Prolactin	Lactation	Hormone	"Evidence at protein level"
ENSG00000071677	PRLH	"Prolactin releasing hormone"		Hormone	"Evidence at protein level"
ENSG00000115718	PROC	"Protein C, inactivator of coagulation factors Va and VIIIa"	"Blood coagulation, Hemostasis"	"Hydrolase, Protease, Serine protease"	"Evidence at protein level"
ENSG00000143125	PROK1	"Prokineticin 1"	Angiogenesis	"Growth factor, Mitogen"	"Evidence at protein level"
ENSG00000163421	PROK2	"Prokineticin 2"	"Biological rhythms"	Neuropeptide	"Evidence at protein level"
ENSG00000184500	PROS1	"Protein S"	"Blood coagulation, Fibrinolysis, Hemostasis"		"Evidence at protein level"
ENSG00000126231	PROZ	"Protein Z, vitamin K dependent plasma glycoprotein"	"Blood coagulation, Hemostasis"	"Serine protease homolog"	"Evidence at protein level"
ENSG00000187533	PRR27	"Proline rich 27"			"Evidence at protein level"
ENSG00000111215	PRR4	"Proline rich 4 (lacrimal)"			"Evidence at protein level"
ENSG00000204983	PRSS1	"Serine protease 1"	Digestion	"Hydrolase, Protease, Serine protease"	"Evidence at protein level"
ENSG00000164099	PRSS12	"Serine protease 12"		"Hydrolase, Protease, Serine protease"	"Evidence at protein level"
ENSG00000112812	PRSS16	"Serine protease 16"		"Hydrolase, Protease, Serine protease"	"Evidence at transcript level"
ENSG00000275896	PRSS2	"Serine protease 2"	Digestion	"Hydrolase, Protease, Serine protease"	"Evidence at protein level"
ENSG00000005001	PRSS22	"Serine protease 22"		"Hydrolase, Protease, Serine protease"	"Evidence at protein level"
ENSG00000150687	PRSS23	"Serine protease 23"		"Hydrolase, Protease, Serine protease"	"Evidence at protein level"
ENSG00000172382	PRSS27	"Serine protease 27"		"Hydrolase, Protease, Serine protease"	"Evidence at protein level"
ENSG00000010438	PRSS3	"Serine protease 3"	Digestion	"Hydrolase, Protease, Serine protease"	"Evidence at protein level"
ENSG00000103355	PRSS33	"Serine protease 33"		"Hydrolase, Protease, Serine protease"	"Evidence at protein level"
ENSG00000146250	PRSS35	"Serine protease 35"		"Serine protease homolog"	"Evidence at protein level"
ENSG00000178226	PRSS36	"Serine protease 36"		"Hydrolase, Protease, Serine protease"	"Evidence at protein level"
ENSG00000165076	PRSS37	"Serine protease 37"	Fertilization		"Evidence at protein level"
ENSG00000185888	PRSS38	"Serine protease 38"		"Hydrolase, Protease, Serine protease"	"Evidence at protein level"
ENSG00000178055	PRSS42	"Serine protease 42"	"Differentiation, Spermatogenesis"	"Hydrolase, Protease, Serine protease"	"Evidence at protein level"
ENSG00000189099	PRSS48	"Serine protease 48"		"Hydrolase, Protease, Serine protease"	"Evidence at transcript level"
ENSG00000253649	PRSS51	"Serine protease 51"			"Evidence at transcript level"
ENSG00000151006	PRSS53	"Serine protease 53"		"Hydrolase, Protease, Serine protease"	"Evidence at transcript level"
ENSG00000103023	PRSS54	"Serine protease 54"		"Serine protease homolog"	"Evidence at protein level"
ENSG00000185198	PRSS57	"Serine protease 57"		"Heparin-binding, Hydrolase, Protease, Serine protease"	"Evidence at protein level"
ENSG00000258223	PRSS58	"Serine protease 58"		"Hydrolase, Protease, Serine protease"	"Evidence at protein level"
ENSG00000052344	PRSS8	"Serine protease 8"		"Hydrolase, Protease, Serine protease"	"Evidence at protein level"
ENSG00000196415	PRTN3	"Proteinase 3"	"Collagen degradation"	"Hydrolase, Protease, Serine protease"	"Evidence at protein level"
ENSG00000178597	PSAPL1	"Prosaposin like 1 (gene/pseudogene)"	"Lipid metabolism, Sphingolipid metabolism"		"Evidence at protein level"
ENSG00000231924	PSG1	"Pregnancy specific beta-1-glycoprotein 1"			"Evidence at protein level"
ENSG00000243130	PSG11	"Pregnancy specific beta-1-glycoprotein 11"			"Evidence at protein level"
ENSG00000242221	PSG2	"Pregnancy specific beta-1-glycoprotein 2"			"Evidence at protein level"
ENSG00000221826	PSG3	"Pregnancy specific beta-1-glycoprotein 3"			"Evidence at protein level"
ENSG00000243137	PSG4	"Pregnancy specific beta-1-glycoprotein 4"			"Evidence at protein level"
ENSG00000204941	PSG5	"Pregnancy specific beta-1-glycoprotein 5"			"Evidence at protein level"
ENSG00000170848	PSG6	"Pregnancy specific beta-1-glycoprotein 6"			"Evidence at protein level"
ENSG00000221878	PSG7	"Pregnancy specific beta-1-glycoprotein 7 (gene/pseudogene)"			"Evidence at protein level"
ENSG00000124467	PSG8	"Pregnancy specific beta-1-glycoprotein 8"			"Evidence at protein level"
ENSG00000183668	PSG9	"Pregnancy specific beta-1-glycoprotein 9"			"Evidence at protein level"
ENSG00000204538	PSORS1C2	"Psoriasis susceptibility 1 candidate 2"			"Evidence at protein level"
ENSG00000125650	PSPN	Persephin		"Growth factor"	"Evidence at transcript level"
ENSG00000171862	PTEN	"Phosphatase and tensin homolog"	"Apoptosis, Lipid metabolism, Neurogenesis"	"Hydrolase, Protein phosphatase"	"Evidence at protein level"
ENSG00000107317	PTGDS	"Prostaglandin D2 synthase"	"Fatty acid biosynthesis, Fatty acid metabolism, Lipid biosynthesis, Lipid metabolism, Mast cell degranulation, Prostaglandin biosynthesis, Prostaglandin metabolism, Transport"	Isomerase	"Evidence at protein level"
ENSG00000152266	PTH	"Parathyroid hormone"		Hormone	"Evidence at protein level"
ENSG00000142538	PTH2	"Parathyroid hormone 2"		Neuropeptide	"Evidence at protein level"
ENSG00000087494	PTHLH	"Parathyroid hormone like hormone"		Hormone	"Evidence at protein level"
ENSG00000112655	PTK7	"Protein tyrosine kinase 7 (inactive)"	"Cell adhesion, Wnt signaling pathway"	Receptor	"Evidence at protein level"
ENSG00000105894	PTN	Pleiotrophin		"Growth factor, Heparin-binding, Mitogen"	"Evidence at protein level"
ENSG00000105426	PTPRS	"Protein tyrosine phosphatase, receptor type S"	"Cell adhesion"	"Heparin-binding, Hydrolase, Protein phosphatase, Receptor"	"Evidence at protein level"
ENSG00000106278	PTPRZ1	"Protein tyrosine phosphatase, receptor type Z1"		"Hydrolase, Protein phosphatase"	"Evidence at protein level"
ENSG00000163661	PTX3	"Pentraxin 3"			"Evidence at protein level"
ENSG00000251692	PTX4	"Pentraxin 4"			"Evidence at protein level"
ENSG00000073008	PVR	"Poliovirus receptor"	"Cell adhesion, Host-virus interaction"	"Host cell receptor for virus entry, Receptor"	"Evidence at protein level"
ENSG00000130508	PXDN	Peroxidasin	"Hydrogen peroxide"	"Oxidoreductase, Peroxidase"	"Evidence at protein level"
ENSG00000131096	PYY	"Peptide YY"		Hormone	"Evidence at protein level"
ENSG00000126838	PZP	"PZP, alpha-2-macroglobulin like"		"Protease inhibitor, Serine protease inhibitor"	"Evidence at protein level"
ENSG00000115828	QPCT	"Glutaminyl-peptide cyclotransferase"		"Acyltransferase, Transferase"	"Evidence at protein level"
ENSG00000188710	QRFP	"Pyroglutamylated RFamide peptide"		Neuropeptide	"Evidence at transcript level"
ENSG00000116260	QSOX1	"Quiescin sulfhydryl oxidase 1"		Oxidoreductase	"Evidence at protein level"
ENSG00000101074	R3HDML	"R3H domain containing like"		"Protease inhibitor"	"Evidence at protein level"
ENSG00000203722	RAET1G	"Retinoic acid early transcript 1G"	"Host-virus interaction, Immunity"		"Evidence at protein level"
ENSG00000106538	RARRES2	"Retinoic acid receptor responder 2"	"Chemotaxis, Differentiation, Inflammatory response"		"Evidence at protein level"
ENSG00000265203	RBP3	"Retinol binding protein 3"	Transport		"Evidence at protein level"
ENSG00000138207	RBP4	"Retinol binding protein 4"	"Sensory transduction, Transport, Vision"		"Evidence at protein level"
ENSG00000115386	REG1A	"Regenerating family member 1 alpha"			"Evidence at protein level"
ENSG00000172023	REG1B	"Regenerating family member 1 beta"			"Evidence at protein level"
ENSG00000172016	REG3A	"Regenerating family member 3 alpha"	"Acute phase, Inflammatory response"	Antimicrobial	"Evidence at protein level"
ENSG00000143954	REG3G	"Regenerating family member 3 gamma"	"Acute phase, Inflammatory response"	Antimicrobial	"Evidence at protein level"
ENSG00000134193	REG4	"Regenerating family member 4"			"Evidence at protein level"
ENSG00000189056	RELN	Reelin	"Cell adhesion"	"Developmental protein, Hydrolase, Protease, Serine protease"	"Evidence at protein level"
ENSG00000143839	REN	Renin		"Aspartyl protease, Hydrolase, Protease"	"Evidence at protein level"
ENSG00000104918	RETN	Resistin		Hormone	"Evidence at protein level"
ENSG00000163515	RETNLB	"Resistin like beta"		Hormone	"Evidence at protein level"
ENSG00000182175	RGMA	"Repulsive guidance molecule BMP co-receptor a"			"Evidence at protein level"
ENSG00000107018	RLN1	"Relaxin 1"		Hormone	"Evidence at protein level"
ENSG00000107014	RLN2	"Relaxin 2"		Hormone	"Evidence at protein level"
ENSG00000171136	RLN3	"Relaxin 3"		Hormone	"Evidence at protein level"
ENSG00000129538	RNASE1	"Ribonuclease A family member 1, pancreatic"		"Endonuclease, Hydrolase, Lyase, Nuclease"	"Evidence at protein level"
ENSG00000182545	RNASE10	"Ribonuclease A family member 10 (inactive)"	"Cell adhesion, Fertilization"		"Evidence at transcript level"
ENSG00000173464	RNASE11	"Ribonuclease A family member 11 (inactive)"		"Endonuclease, Hydrolase, Nuclease"	"Evidence at protein level"
ENSG00000258436	RNASE12	"Ribonuclease A family member 12 (inactive)"			"Evidence at protein level"
ENSG00000206150	RNASE13	"Ribonuclease A family member 13 (inactive)"			"Evidence at protein level"
ENSG00000169385	RNASE2	"Ribonuclease A family member 2"	Chemotaxis	"Endonuclease, Hydrolase, Lyase, Nuclease"	"Evidence at protein level"
ENSG00000169397	RNASE3	"Ribonuclease A family member 3"		"Antibiotic, Antimicrobial, Endonuclease, Hydrolase, Nuclease"	"Evidence at protein level"
ENSG00000258818	RNASE4	"Ribonuclease A family member 4"		"Endonuclease, Hydrolase, Nuclease"	"Evidence at protein level"
ENSG00000169413	RNASE6	"Ribonuclease A family member k6"		"Antibiotic, Antimicrobial, Endonuclease, Hydrolase, Nuclease"	"Evidence at protein level"
ENSG00000165799	RNASE7	"Ribonuclease A family member 7"		"Antibiotic, Antimicrobial, Endonuclease, Hydrolase, Nuclease"	"Evidence at protein level"
ENSG00000173431	RNASE8	"Ribonuclease A family member 8"		"Endonuclease, Hydrolase, Nuclease"	"Evidence at protein level"
ENSG00000188655	RNASE9	"Ribonuclease A family member 9 (inactive)"			"Evidence at protein level"
ENSG00000026297	RNASET2	"Ribonuclease T2"	"Immunity, Innate immunity"	"Endonuclease, Hydrolase, Lyase, Nuclease"	"Evidence at protein level"
ENSG00000184719	RNLS	"Renalase, FAD dependent amine oxidase"		Oxidoreductase	"Evidence at protein level"
ENSG00000176393	RNPEP	"Arginyl aminopeptidase"		"Aminopeptidase, Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ENSG00000215853	RPTN	Repetin			"Evidence at protein level"
ENSG00000102104	RS1	"Retinoschisin 1"	"Cell adhesion, Sensory transduction, Vision"		"Evidence at protein level"
ENSG00000169218	RSPO1	"R-spondin 1"	"Sensory transduction, Wnt signaling pathway"	Heparin-binding	"Evidence at protein level"
ENSG00000147655	RSPO2	"R-spondin 2"	"Sensory transduction, Wnt signaling pathway"	"Developmental protein, Heparin-binding"	"Evidence at protein level"
ENSG00000146374	RSPO3	"R-spondin 3"	"Sensory transduction, Wnt signaling pathway"	Heparin-binding	"Evidence at protein level"
ENSG00000101282	RSPO4	"R-spondin 4"	"Sensory transduction, Wnt signaling pathway"	Heparin-binding	"Evidence at protein level"
ENSG00000159579	RSPRY1	"Ring finger and SPRY domain containing 1"			"Evidence at protein level"
ENSG00000132026	RTBDN	Retbindin			"Evidence at protein level"
ENSG00000163221	S100A12	"S100 calcium binding protein A12"	"Immunity, Inflammatory response, Innate immunity"	"Antibiotic, Antimicrobial, Fungicide"	"Evidence at protein level"
ENSG00000189171	S100A13	"S100 calcium binding protein A13"	"Protein transport, Transport"		"Evidence at protein level"
ENSG00000143556	S100A7	"S100 calcium binding protein A7"			"Evidence at protein level"
ENSG00000143546	S100A8	"S100 calcium binding protein A8"	"Apoptosis, Autophagy, Chemotaxis, Immunity, Inflammatory response, Innate immunity"	Antimicrobial	"Evidence at protein level"
ENSG00000163220	S100A9	"S100 calcium binding protein A9"	"Apoptosis, Autophagy, Chemotaxis, Immunity, Inflammatory response, Innate immunity"	"Antimicrobial, Antioxidant"	"Evidence at protein level"
ENSG00000173432	SAA1	"Serum amyloid A1"	"Acute phase"	Heparin-binding	"Evidence at protein level"
ENSG00000134339	SAA2	"Serum amyloid A2"	"Acute phase"		"Evidence at protein level"
ENSG00000148965	SAA4	"Serum amyloid A4, constitutive"	"Acute phase"		"Evidence at protein level"
ENSG00000189001	SBSN	Suprabasin			"Evidence at protein level"
ENSG00000164764	SBSPON	"Somatomedin B and thrombospondin type 1 domain containing"			"Evidence at protein level"
ENSG00000171951	SCG2	"Secretogranin II"			"Evidence at protein level"
ENSG00000104112	SCG3	"Secretogranin III"			"Evidence at protein level"
ENSG00000166922	SCG5	"Secretogranin V"	Transport	"Chaperone, Neuropeptide"	"Evidence at protein level"
ENSG00000149021	SCGB1A1	"Secretoglobin family 1A member 1"		"Phospholipase A2 inhibitor"	"Evidence at protein level"
ENSG00000188076	SCGB1C1	"Secretoglobin family 1C member 1"			"Evidence at transcript level"
ENSG00000268320	SCGB1C2	"Secretoglobin family 1C member 2"			"Evidence at transcript level"
ENSG00000168515	SCGB1D1	"Secretoglobin family 1D member 1"			"Evidence at protein level"
ENSG00000124935	SCGB1D2	"Secretoglobin family 1D member 2"			"Evidence at protein level"
ENSG00000197745	SCGB1D4	"Secretoglobin family 1D member 4"			"Evidence at protein level"
ENSG00000124939	SCGB2A1	"Secretoglobin family 2A member 1"			"Evidence at protein level"
ENSG00000110484	SCGB2A2	"Secretoglobin family 2A member 2"			"Evidence at protein level"
ENSG00000205209	SCGB2B2	"Secretoglobin family 2B member 2"			"Evidence at transcript level"
ENSG00000161055	SCGB3A1	"Secretoglobin family 3A member 1"		Cytokine	"Evidence at protein level"
ENSG00000164265	SCGB3A2	"Secretoglobin family 3A member 2"			"Evidence at protein level"
ENSG00000121064	SCPEP1	"Serine carboxypeptidase 1"		"Carboxypeptidase, Hydrolase, Protease"	"Evidence at protein level"
ENSG00000164106	SCRG1	"Stimulator of chondrogenesis 1"			"Evidence at protein level"
ENSG00000070031	SCT	Secretin		Hormone	"Evidence at protein level"
ENSG00000159307	SCUBE1	"Signal peptide, CUB domain and EGF like domain containing 1"			"Evidence at protein level"
ENSG00000175356	SCUBE2	"Signal peptide, CUB domain and EGF like domain containing 2"		"Developmental protein"	"Evidence at protein level"
ENSG00000146197	SCUBE3	"Signal peptide, CUB domain and EGF like domain containing 3"			"Evidence at protein level"
ENSG00000115884	SDC1	"Syndecan 1"			"Evidence at protein level"
ENSG00000124145	SDC4	"Syndecan 4"			"Evidence at protein level"
ENSG00000141574	SECTM1	"Secreted and transmembrane 1"			"Evidence at protein level"
ENSG00000250722	SELENOP	"Selenoprotein P"			"Evidence at protein level"
ENSG00000075213	SEMA3A	"Semaphorin 3A"	"Differentiation, Neurogenesis"	"Developmental protein"	"Evidence at protein level"
ENSG00000012171	SEMA3B	"Semaphorin 3B"			"Evidence at protein level"
ENSG00000075223	SEMA3C	"Semaphorin 3C"	"Differentiation, Neurogenesis"	"Developmental protein"	"Evidence at protein level"
ENSG00000153993	SEMA3D	"Semaphorin 3D"	"Differentiation, Neurogenesis"	"Developmental protein"	"Evidence at protein level"
ENSG00000170381	SEMA3E	"Semaphorin 3E"	"Angiogenesis, Differentiation, Neurogenesis"	"Developmental protein"	"Evidence at protein level"
ENSG00000001617	SEMA3F	"Semaphorin 3F"			"Evidence at protein level"
ENSG00000010319	SEMA3G	"Semaphorin 3G"			"Evidence at protein level"
ENSG00000124233	SEMG1	"Semenogelin I"			"Evidence at protein level"
ENSG00000124157	SEMG2	"Semenogelin II"			"Evidence at protein level"
ENSG00000197249	SERPINA1	"Serpin family A member 1"	"Acute phase, Blood coagulation, Hemostasis"	"Protease inhibitor, Serine protease inhibitor"	"Evidence at protein level"
ENSG00000140093	SERPINA10	"Serpin family A member 10"	"Blood coagulation, Hemostasis"	"Heparin-binding, Protease inhibitor, Serine protease inhibitor"	"Evidence at protein level"
ENSG00000186910	SERPINA11	"Serpin family A member 11"		"Protease inhibitor, Serine protease inhibitor"	"Evidence at protein level"
ENSG00000165953	SERPINA12	"Serpin family A member 12"		"Protease inhibitor, Serine protease inhibitor"	"Evidence at protein level"
ENSG00000196136	SERPINA3	"Serpin family A member 3"	"Acute phase"	"Protease inhibitor, Serine protease inhibitor"	"Evidence at protein level"
ENSG00000100665	SERPINA4	"Serpin family A member 4"		"Protease inhibitor, Serine protease inhibitor"	"Evidence at protein level"
ENSG00000188488	SERPINA5	"Serpin family A member 5"	"Fertilization, Lipid transport, Transport"	"Heparin-binding, Protease inhibitor, Serine protease inhibitor"	"Evidence at protein level"
ENSG00000170099	SERPINA6	"Serpin family A member 6"	Transport		"Evidence at protein level"
ENSG00000123561	SERPINA7	"Serpin family A member 7"			"Evidence at protein level"
ENSG00000170054	SERPINA9	"Serpin family A member 9"		"Protease inhibitor, Serine protease inhibitor"	"Evidence at protein level"
ENSG00000117601	SERPINC1	"Serpin family C member 1"	"Blood coagulation, Hemostasis"	"Heparin-binding, Protease inhibitor, Serine protease inhibitor"	"Evidence at protein level"
ENSG00000099937	SERPIND1	"Serpin family D member 1"	"Blood coagulation, Chemotaxis, Hemostasis"	"Heparin-binding, Protease inhibitor, Serine protease inhibitor"	"Evidence at protein level"
ENSG00000106366	SERPINE1	"Serpin family E member 1"		"Protease inhibitor, Serine protease inhibitor"	"Evidence at protein level"
ENSG00000135919	SERPINE2	"Serpin family E member 2"	"Differentiation, Neurogenesis"	"Developmental protein, Heparin-binding, Protease inhibitor, Serine protease inhibitor"	"Evidence at protein level"
ENSG00000253309	SERPINE3	"Serpin family E member 3"		"Protease inhibitor, Serine protease inhibitor"	"Evidence at protein level"
ENSG00000132386	SERPINF1	"Serpin family F member 1"			"Evidence at protein level"
ENSG00000167711	SERPINF2	"Serpin family F member 2"	"Acute phase"	"Protease inhibitor, Serine protease inhibitor"	"Evidence at protein level"
ENSG00000149131	SERPING1	"Serpin family G member 1"	"Blood coagulation, Complement pathway, Fibrinolysis, Hemostasis, Immunity, Innate immunity"	"Protease inhibitor, Serine protease inhibitor"	"Evidence at protein level"
ENSG00000163536	SERPINI1	"Serpin family I member 1"		"Protease inhibitor, Serine protease inhibitor"	"Evidence at protein level"
ENSG00000114204	SERPINI2	"Serpin family I member 2"		"Protease inhibitor, Serine protease inhibitor"	"Evidence at protein level"
ENSG00000175793	SFN	Stratifin			"Evidence at protein level"
ENSG00000104332	SFRP1	"Secreted frizzled related protein 1"	"Differentiation, Wnt signaling pathway"	"Developmental protein"	"Evidence at protein level"
ENSG00000145423	SFRP2	"Secreted frizzled related protein 2"	"Differentiation, Wnt signaling pathway"	"Developmental protein"	"Evidence at protein level"
ENSG00000106483	SFRP4	"Secreted frizzled related protein 4"	"Differentiation, Wnt signaling pathway"	"Developmental protein"	"Evidence at protein level"
ENSG00000120057	SFRP5	"Secreted frizzled related protein 5"	"Differentiation, Wnt signaling pathway"	"Developmental protein"	"Evidence at protein level"
ENSG00000196260	SFTA2	"Surfactant associated 2"			"Evidence at protein level"
ENSG00000229415	SFTA3	"Surfactant associated 3"			"Evidence at protein level"
ENSG00000122852	SFTPA1	"Surfactant protein A1"	"Gaseous exchange"		"Evidence at protein level"
ENSG00000185303	SFTPA2	"Surfactant protein A2"	"Gaseous exchange"		"Evidence at protein level"
ENSG00000168878	SFTPB	"Surfactant protein B"	"Gaseous exchange"		"Evidence at protein level"
ENSG00000168484	SFTPC	"Surfactant protein C"	"Gaseous exchange"		"Evidence at protein level"
ENSG00000133661	SFTPD	"Surfactant protein D"	"Gaseous exchange, Immunity, Innate immunity"		"Evidence at protein level"
ENSG00000129214	SHBG	"Sex hormone binding globulin"			"Evidence at protein level"
ENSG00000169291	SHE	"Src homology 2 domain containing E"			"Evidence at protein level"
ENSG00000125900	SIRPD	"Signal regulatory protein delta"			"Evidence at protein level"
ENSG00000117090	SLAMF1	"Signaling lymphocytic activation molecule family member 1"	"Adaptive immunity, Cell adhesion, Host-virus interaction, Immunity, Innate immunity, Phagocytosis"	"Host cell receptor for virus entry, Receptor"	"Evidence at protein level"
ENSG00000187122	SLIT1	"Slit guidance ligand 1"	"Differentiation, Neurogenesis"	"Developmental protein"	"Evidence at protein level"
ENSG00000145147	SLIT2	"Slit guidance ligand 2"	"Chemotaxis, Differentiation, Neurogenesis"	"Developmental protein, Heparin-binding"	"Evidence at protein level"
ENSG00000184347	SLIT3	"Slit guidance ligand 3"	"Differentiation, Neurogenesis"	"Developmental protein"	"Evidence at protein level"
ENSG00000178235	SLITRK1	"SLIT and NTRK like family member 1"			"Evidence at protein level"
ENSG00000124107	SLPI	"Secretory leukocyte peptidase inhibitor"	"Immunity, Innate immunity"	"Antibiotic, Antimicrobial, Protease inhibitor, Serine protease inhibitor"	"Evidence at protein level"
ENSG00000126233	SLURP1	"Secreted LY6/PLAUR domain containing 1"		Cytokine	"Evidence at protein level"
ENSG00000283992	SLURP2	"Secreted LY6/PLAUR domain containing 2"			"Evidence at protein level"
ENSG00000248771	SMIM31	"Small integral membrane protein 31"			"Evidence at transcript level"
ENSG00000198732	SMOC1	"SPARC related modular calcium binding 1"	Differentiation	"Developmental protein"	"Evidence at protein level"
ENSG00000112562	SMOC2	"SPARC related modular calcium binding 2"			"Evidence at protein level"
ENSG00000166311	SMPD1	"Sphingomyelin phosphodiesterase 1"		"Glycosidase, Hydrolase"	"Evidence at protein level"
ENSG00000172594	SMPDL3A	"Sphingomyelin phosphodiesterase acid like 3A"		Hydrolase	"Evidence at protein level"
ENSG00000130768	SMPDL3B	"Sphingomyelin phosphodiesterase acid like 3B"	"Immunity, Inflammatory response, Innate immunity, Lipid degradation, Lipid metabolism"	"Glycosidase, Hydrolase"	"Evidence at protein level"
ENSG00000109208	SMR3A	"Submaxillary gland androgen regulated protein 3A"			"Evidence at protein level"
ENSG00000171201	SMR3B	"Submaxillary gland androgen regulated protein 3B"			"Evidence at protein level"
ENSG00000162804	SNED1	"Sushi, nidogen and EGF like domains 1"			"Evidence at protein level"
ENSG00000109610	SOD3	"Superoxide dismutase 3"		"Antioxidant, Heparin-binding, Oxidoreductase"	"Evidence at protein level"
ENSG00000149639	SOGA1	"Suppressor of glucose, autophagy associated 1"			"Evidence at protein level"
ENSG00000137642	SORL1	"Sortilin related receptor 1"	"Endocytosis, Transport"	Receptor	"Evidence at protein level"
ENSG00000167941	SOST	Sclerostin	"Wnt signaling pathway"	Heparin-binding	"Evidence at protein level"
ENSG00000171243	SOSTDC1	"Sclerostin domain containing 1"	"Wnt signaling pathway"		"Evidence at protein level"
ENSG00000141316	SPACA3	"Sperm acrosome associated 3"			"Evidence at protein level"
ENSG00000171489	SPACA5	"Sperm acrosome associated 5"		"Glycosidase, Hydrolase"	"Evidence at protein level"
ENSG00000171478	SPACA5B	"Sperm acrosome associated 5B"		"Glycosidase, Hydrolase"	"Evidence at protein level"
ENSG00000153498	SPACA7	"Sperm acrosome associated 7"	Fertilization		"Evidence at protein level"
ENSG00000178287	SPAG11A	"Sperm associated antigen 11A"		"Antibiotic, Antimicrobial, Defensin"	"Evidence at protein level"
ENSG00000164871	SPAG11B	"Sperm associated antigen 11B"		"Antibiotic, Antimicrobial, Defensin"	"Evidence at protein level"
ENSG00000113140	SPARC	"Secreted protein acidic and cysteine rich"			"Evidence at protein level"
ENSG00000152583	SPARCL1	"SPARC like 1"			"Evidence at protein level"
ENSG00000006282	SPATA20	"Spermatogenesis associated 20"	"Differentiation, Spermatogenesis"	"Developmental protein"	"Evidence at protein level"
ENSG00000164266	SPINK1	"Serine peptidase inhibitor, Kazal type 1"		"Protease inhibitor, Serine protease inhibitor"	"Evidence at protein level"
ENSG00000214510	SPINK13	"Serine peptidase inhibitor, Kazal type 13 (putative)"		"Protease inhibitor, Serine protease inhibitor"	"Evidence at transcript level"
ENSG00000196800	SPINK14	"Serine peptidase inhibitor, Kazal type 14 (putative)"		"Protease inhibitor, Serine protease inhibitor"	"Evidence at transcript level"
ENSG00000128040	SPINK2	"Serine peptidase inhibitor, Kazal type 2"		"Protease inhibitor, Serine protease inhibitor"	"Evidence at protein level"
ENSG00000122711	SPINK4	"Serine peptidase inhibitor, Kazal type 4"		"Protease inhibitor, Serine protease inhibitor"	"Evidence at protein level"
ENSG00000133710	SPINK5	"Serine peptidase inhibitor, Kazal type 5"		"Protease inhibitor, Serine protease inhibitor"	"Evidence at protein level"
ENSG00000178172	SPINK6	"Serine peptidase inhibitor, Kazal type 6"		"Protease inhibitor, Serine protease inhibitor"	"Evidence at protein level"
ENSG00000145879	SPINK7	"Serine peptidase inhibitor, Kazal type 7 (putative)"		"Protease inhibitor, Serine protease inhibitor"	"Evidence at protein level"
ENSG00000229453	SPINK8	"Serine peptidase inhibitor, Kazal type 8 (putative)"		"Protease inhibitor, Serine protease inhibitor"	"Evidence at transcript level"
ENSG00000204909	SPINK9	"Serine peptidase inhibitor, Kazal type 9"		"Protease inhibitor, Serine protease inhibitor"	"Evidence at protein level"
ENSG00000166145	SPINT1	"Serine peptidase inhibitor, Kunitz type 1"		"Protease inhibitor, Serine protease inhibitor"	"Evidence at protein level"
ENSG00000101446	SPINT3	"Serine peptidase inhibitor, Kunitz type 3"		"Protease inhibitor, Serine protease inhibitor"	"Evidence at protein level"
ENSG00000149651	SPINT4	"Serine peptidase inhibitor, Kunitz type 4"		"Protease inhibitor, Serine protease inhibitor"	"Evidence at protein level"
ENSG00000152377	SPOCK1	"SPARC/osteonectin, cwcv and kazal like domains proteoglycan 1"			"Evidence at protein level"
ENSG00000107742	SPOCK2	"SPARC/osteonectin, cwcv and kazal like domains proteoglycan 2"			"Evidence at protein level"
ENSG00000196104	SPOCK3	"SPARC/osteonectin, cwcv and kazal like domains proteoglycan 3"		"Metalloenzyme inhibitor, Metalloprotease inhibitor, Protease inhibitor"	"Evidence at protein level"
ENSG00000262655	SPON1	"Spondin 1"	"Cell adhesion"		"Evidence at protein level"
ENSG00000159674	SPON2	"Spondin 2"	"Cell adhesion, Immunity, Innate immunity"		"Evidence at protein level"
ENSG00000118785	SPP1	"Secreted phosphoprotein 1"	"Biomineralization, Cell adhesion"	Cytokine	"Evidence at protein level"
ENSG00000072080	SPP2	"Secreted phosphoprotein 2"			"Evidence at protein level"
ENSG00000247595	SPTY2D1OS	"SPTY2D1 opposite strand"			"Evidence at transcript level"
ENSG00000134548	SPX	"Spexin hormone"		Hormone	"Evidence at protein level"
ENSG00000101955	SRPX	"Sushi repeat containing protein, X-linked"	"Cell adhesion"		"Evidence at protein level"
ENSG00000102359	SRPX2	"Sushi repeat containing protein, X-linked 2"	"Angiogenesis, Cell adhesion"		"Evidence at protein level"
ENSG00000146700	SSC4D	"Scavenger receptor cysteine rich family member with 4 domains"			"Evidence at protein level"
ENSG00000179954	SSC5D	"Scavenger receptor cysteine rich family member with 5 domains"	"Immunity, Innate immunity"	"Developmental protein, Receptor"	"Evidence at protein level"
ENSG00000197558	SSPO	SCO-spondin			"Evidence at transcript level"
ENSG00000157005	SST	Somatostatin		Hormone	"Evidence at protein level"
